=== Sheet: 卡牌  (dims=A1:S45) ===
角色	卡牌名称	费用	类型	职业	效果描述	卡牌稀有度	可升级次数	每次升级效果	升级所需经验	特别效果		关键词	描述		初始牌组	角色	卡牌名称	数量
战士	作者境的一击	0	攻击	测试用	【AOE】造成9999点伤害（无法获取）	橙	-	-	-			【增伤×层数】	攻击卡获得伤害加成，每层加1%			战士	基础斩击	3
战士	基础斩击	1	攻击	职业	【前/中】造成8伤害	白	5	+1伤害	8/级			【虚弱×层数】	攻击卡获得伤害减益，每层减1%				举盾格挡	2
战士	举盾格挡	1	防御	职业	获得10护甲	白	5	+1护甲	8/级			【强固×层数】	增加防御卡给予的护甲，每层加1%				防御架势	1
战士	防御架势	1	防御	职业	【应对攻击】获得50%减伤	白	5	+5%减伤	8/级			【破损×层数】	减少防御卡给予的护甲，每层减1%				铁壁弹反	1
战士	战吼鼓舞	1	状态	职业	【快速启动】全队获得10%增伤持续到本回合结束	白	5	+1伤害	8/级			【易伤×层数】	增加单位受到的伤害，每层加1%			恶魔	暗影爪击	3
战士	猛力劈砍	2	攻击	职业	【前/中】造成18伤害。目标HP<50%时额外+8	绿	5	+1伤害	10/级			【减伤×层数】	减少单位受到的伤害，每层减1%				鲜血铠甲	2
战士	剑柄猛击	1	攻击	职业	【应对状态】使该状态卡牌不生效。造成6伤害	绿	5	+1伤害	10/级			【应对状态】	当选择的目标使用状态牌时，应对的效果会生效（无法应对带有应对关键词的牌）				恶魔之触	1
战士	嘲讽挑衅	2	防御	职业	所有敌人下一行动强制攻击战士。获得19护甲	绿	5	+2护甲	10/级			【应对攻击】	当该角色受到攻击前，应对的效果会生效（无法应对带有应对关键词的牌）				血尾贯穿	1
战士	铁壁弹反	2	防御	职业	【应对攻击】获得30%减伤，反射100%伤害给攻击者	蓝	5	+5%减伤，+10%反弹伤害	15/级			【应对防御】	当选择的目标使用防御牌时，
应对的效果会生效（无法应对带有应对关键词的牌）			法老	沙暴射线	3
战士	战士冲锋	3	攻击	职业	【前/中】造成28伤害，无视目标50%护甲	蓝	5	+3伤害	15/级			【消耗】	使用后移除本场战斗				祈祷祝福	2
战士	誓死守护	2	防御	职业	本回合队友受到的伤害全部转移给战士，获得50%减伤	蓝	5	+5%减伤	15/级			【献祭】	使用后扣除自己生命值				圣甲虫护盾	1
战士	致命打击	3	攻击	职业	【前/中】造成 22 伤害。目标本轮已被攻击过则伤害+50%	蓝	5	+3伤害	15/级			【位置】，
如【前/中】	选择位置中允许的目标，造成单体效果				亡灵诅咒	1
战士	剑刃风暴	3	攻击	职业	对随机敌人造成5伤害，重复5次	紫	5	+1伤害	20/级			【AOE】	对敌方全体生效					
战士	不屈意志	0	状态	职业	【消耗】在本场战斗中，当第一次血量降至25%以下时，恢复20HP	紫	5	+5恢复HP	20/级			【中毒×层数】	回合开始每层造成1伤害，无视护甲					
战士	天神下凡	5	状态	职业	【消耗】在本场战斗中，当获得护甲时，对所有敌人造成8伤害	橙	5	+2伤害	30/级			【灼烧×层数】	回合结束每层造成2伤害					
法老	沙暴射线	1	攻击	职业	【前/中】造成8伤害	白	5	+1伤害	8/级			【减速×层数】	每层使角色减少1点SPD					
法老	祈祷祝福	1	状态	职业	【消耗】治疗一名队友10HP	白	5	+1HP	8/级			【加速×层数】	每层使角色增加1点SPD					
法老	圣甲虫护盾	1	防御	职业	为一名队友添加10护甲	白	5	+1护甲	8/级			【污染】	卡牌拥有者死亡，无法使用					
法老	法老诅咒	1	状态	职业	【前/中】施加2层减速	绿	5	-	-			【虚化】	本回合最多只受到1点伤害					
法老	太阳之怒	2	攻击	职业	【AOE】造成8伤害	绿	5	+1伤害	10/级			【持续时间】	很多状态后面会跟（持续时间），如果是（永久）则持续到本场战斗结束					
法老	沙尘结界	2	防御	职业	我方所有角色各获得8护甲	绿	5	+1护甲	10/级			【闪避】	受到直接伤害时（不含中毒、灼烧等），有几率无视该伤害					
法老	生命汲取	2	攻击	职业	【前/中】造成13伤害，对自己回复等量HP	蓝	5	+1伤害	15/级			【快速启动】	仅限PVE，会直接生效无需等到战斗回合					
法老	法老权令	2	状态	职业	抽2张牌。指定一名队友获得10%增伤和10%强固持续到本回合结束	蓝	5	+1伤害，+1护甲	15/级									
法老	亡灵诅咒	3	攻击	职业	【前/中/后】造成15伤害，对目标施加5层中毒（永久）	蓝	5	+1伤害，+1层中毒	15/级									
法老	日光审判	4	攻击	职业	【前/中/后】造成30伤害	蓝	5	+4伤害	15/级			卡牌颜色	描述					
法老	复活祝福	3	状态	职业	【消耗】给一名队友附加【复活】：HP归零时恢复25%HP。每场限1次	紫	5	+5%恢复HP	20/级			白	普通/common					
法老	沙矛重塑	3	攻击	职业	【消耗】在本场远征中，你每使用过一张消耗牌，便随机对一个敌人造成4伤害	紫	5	+1伤害	20/级			绿	稀有/rare					
法老	太阳神之怒	X	攻击	职业	花费剩余所有能量，每花费一点能量，便随机使一个敌人随机获得以下五种效果之一：受到13伤害、获得20%破损（2回合）、获得20%易伤（2回合）、获得2层减速、获得5层灼烧	紫	5	额外重复一次	20/级			蓝	超稀有/superrare					
法老	太阳神的庇佑	X	防御	职业	花费剩余所有能量，每花费一点能量，便重复一次使所有队友获得6护甲	紫	5	+1护甲	20/级			紫	史诗/epic					
法老	阿努比斯化身	6	状态	职业	【消耗】在本场战斗中，临时获得额外50%的血量上限，50%增伤和50%强固，但接下来的两个回合不能出牌	橙	5	-	-			橙/金	传说/legendary					
恶魔	暗影爪击	1	攻击	职业	【前/中】造成8伤害	白	5	+1伤害	8/级									
恶魔	恶魔之触	1	攻击	职业	【前/中】造成6伤害，回复等量HP	白	5	+1伤害	8/级									
恶魔	鲜血铠甲	1	防御	职业	【献祭3HP】获得12护甲	白	5	+1护甲	8/级									
恶魔	恶魔契约	2	状态	职业	【献祭5HP】抽2张牌，本回合获得10%增伤	绿	2	+1伤害	10/级									
恶魔	吸血光环	1	状态	职业	直到本回合结束，恶魔的攻击回复造成伤害30%的HP	绿	5	+5%回复HP	10/级									
恶魔	血尾贯穿	2	攻击	职业	【前/中】造成14伤害，同时对身后位置的敌人造成80%的伤害	蓝	5	+2伤害	15/级									
恶魔	血焰爆发	2	攻击	职业	【前/中】【献祭8HP】造成22伤害	蓝	5	+2伤害	15/级									
恶魔	灵魂撕裂	2	攻击	职业	【前/中/后】造成12伤害，无视护甲	蓝	5	+2伤害	15/级									
恶魔	诅咒之链	2	攻击	职业	【前/中/后】造成10伤害，给予目标20%易伤（2回合）	蓝	5	+1伤害，目标受到的伤害+1	15/级									
恶魔	地狱烈焰	3	攻击	职业	【AOE】【献祭8HP】造成14伤害	蓝	5	+1伤害	15/级									
恶魔	暗黑献祭	3	攻击	职业	【前/中】【献祭15HP】造成35伤害	紫	5	+4伤害	20/级									
恶魔	魔王降临	4	攻击	职业	【前/中/后】【献祭20HP】造成45伤害。击杀回复30HP	紫	5	+4伤害	20/级									
恶魔	无尽血刃	3	攻击	职业	【前/中/后】【献祭25%HP】造成25伤害，使用后此牌伤害在本场战斗中翻倍	橙	5	+5伤害	30/级									
恶魔	最终鲜血仪式	3	状态	职业	【消耗】在本场战斗中，每当使用者触发【献祭】关键词，抽一张牌并回复5HP	橙	5	+1回复HP	30/级									
