=== Sheet: 角色  (dims=A1:U49) ===
属性表（v0.7：已删除ATK和DEF，角色只有HP和SPD）											天赋树	每个角色都有两个天赋槽位，当其局外经验到达一定等级，会开启每个槽位的几个天赋节点。玩家可以选择节点放入增强其战斗能力。且上面的描述，若没有明确其他角色，则只影响自己。								
	战士			法老			恶魔					战士			法老			恶魔		
局内等级	HP	升级用经验	SPD	HP	升级用经验	SPD	HP	升级用经验	SPD			局外等级	槽位1节点	槽位2节点	局外等级	槽位1节点	槽位2节点	局外等级	槽位1节点	槽位2节点
1	80	-	7	60	-	5	45	-	6			1	如果处于前排，回合开始时获得+2护甲		1	使用护甲类卡牌时，如果目标不是自己，自己也获得25%的护甲		1	献祭类卡牌减少25%的血量消耗	
2	86	8	7	65	8	5	49	8	6			2		成功触发应对后，下一次受到伤害减少20%	2		每场战斗第一张状态牌消耗能量-1	2		吸血效果超出HP上限时，溢出转化为等量护甲
3	92	11	7	70	11	5	53	11	6			3	当不处于前排时，获得33%易伤和33%增伤	成功触发应对后，下一张攻击牌增加20%伤害	3			3		
4	98	14	7	75	14	5	57	14	6			4			4		施加的中毒层数+2	4		每次献祭后，下一张牌能量消耗-1（最低0）
5	104	17	7	80	17	5	61	17	6			5	回合结束时如果护甲量大于0，则回复2HP		5	每场远征中，法老获得一次复活机会并回复30%HP		5	献祭类卡牌增加30%伤害，但同时增加40%血量消耗	
6	110	20	7	85	20	5	65	20	6			6		战士场上存活时，全队最大HP+10	6		每场战斗中，受到法老伤害的第一个敌人获得1层减速	6		远征开始时，将一张「无尽血刃」置入该角色牌组
7	116	23	7	90	23	5	69	23	6			7	当HP低于护甲时，获得20%增伤		7			7	当HP低于30%时，获得25%增伤	
8	122	26	7	95	26	5	73	26	6			8		如果一回合中连续使用三张攻击牌，当回合获得33%增伤	8	治疗超出目标HP上限时，溢出转化为等量护甲		8		非Boss战中，若只有一个敌人，则获得30%增伤
9	128	29	7	100	29	5	77	29	6			9			9			9		
10	134	32	7	105	32	5	81	32	6			10	每场战斗第一次即将受到致死攻击时，获得50点护甲	不再获得护甲，每当获取护甲时变为下一张攻击牌增加护甲量的伤害	10	法老死亡时，全队获得25护甲	所有中毒层数的累计伤害都会在一回合内爆发	10	献祭总血量每达到50点所有攻击牌增加1点伤害，最多可增加10点（整场远征累计）	
11	140	35	7	110	35	5	85	35	6											
12	146	38	7	115	38	5	89	38	6											
13	152	41	7	120	41	5	93	41	6											
14	158	44	7	125	44	5	97	44	6											
15	164	47	7	130	47	5	101	47	6											
16	170	50	7	135	50	5	105	50	6											
17	176	53	7	140	53	5	109	53	6											
18	182	56	7	145	56	5	113	56	6											
19	188	59	7	150	59	5	117	59	6											
20	194	62	7	155	62	5	121	62	6											
局内经验表			手牌数升级表			能量上限升级表			局外经验表											
局内等级	需XP		手牌数量	需XP		能量上限升级表	需XP		局外等级	需XP	总计XP									
1	—		5	—		8	—		1	—	—									
2	8		6	50		9	100		2	100	100									
3	11		7	100		10	200		3	200	300									
4	14		8	200					4	300	600									
5	17								5	500	1100									
6	20								6	800	1900									
7	23								7	1000	2900									
8	26								8	1500	4400									
9	29								9	2000	6400									
10	32								10	2500	8900									
11	35																			
12	38																			
13	41																			
14	44																			
15	47																			
16	50																			
17	53																			
18	56																			
19	59																			
20	62																			
