=== Sheet: icon设计  (dims=A1:E11) ===
Icon id	名称	用法说明	类型	备注
damage_up	增伤	当角色拥有增伤状态时，将图标置于立绘下方，紧跟着是该状态的层数	状态类图标	
damage_down	虚弱	当角色拥有虚弱状态时，将图标置于立绘下方，紧跟着是该状态的层数	状态类图标	
armoracq_up	强固	当角色拥有强固状态时，将图标置于立绘下方，紧跟着是该状态的层数	状态类图标	
armoracq_down	破损	当角色拥有破损状态时，将图标置于立绘下方，紧跟着是该状态的层数	状态类图标	
defense_up	减伤	当角色拥有减伤状态时，将图标置于立绘下方，紧跟着是该状态的层数	状态类图标	
defense_down	易伤	当角色拥有易伤状态时，将图标置于立绘下方，紧跟着是该状态的层数	状态类图标	
spd_up	加速	当角色拥有加速状态时，将图标置于立绘下方，紧跟着是该状态的层数	状态类图标	
spd_down	减速	当角色拥有减速状态时，将图标置于立绘下方，紧跟着是该状态的层数	状态类图标	
poisoning_effect	中毒	当角色拥有中毒状态时，将图标置于立绘下方，紧跟着是该状态的层数	状态类图标	和中毒特效用相同图标，不同大小
burning_effect	灼烧	当角色拥有灼烧状态时，将图标置于立绘下方，紧跟着是该状态的层数	状态类图标	和灼烧特效用相同图标，不同大小
