=== Sheet: 事件 (dims=A1:G129, rows=129, cols=7) ===
远征事件总览 |  |  |  |  |  | 
神秘旅者  |  |  |  |  |  | 
戴兜帽的旅者摊开手掌，展示发光的物品。
「交易，还是离开？」 |  |  |  |  |  | 
触发条件：无 |  |  |  |  |  | 
选项 | 选项标题 | 代价 | 效果 | 视觉反馈 | 选择后文本 | 备注
A | 用 30 金币购买 | 消耗 30 金 | 随机卡牌奖励 | 奖励领取界面 | 你掏出金币换得一张卡牌，旅者满意地收下，转身离去。 | 
B | 接受礼物 | — | 随机遗物 + 玩家牌组加入诅咒牌「混沌之触」 | 消息提示 + 遗物领取界面 | 你伸手接过礼物的瞬间，一道阴影般的诅咒悄悄爬进了你的牌组。 | 
C | 拒绝离开 | — | 无事发生 | — | 旅者耸耸肩，转身消失在阴影中。 | 
古老神殿 |  |  |  |  |  | 
残破神殿中祭台圣火仍在燃烧，神像似乎在注视着你。 |  |  |  |  |  | 
触发条件：无 |  |  |  |  |  | 
选项 | 选项标题 | 代价 | 效果 | 视觉反馈 | 选择后文本 | 备注
A | 虔诚祈祷 | 全队 -10% 最大HP | 当前卡组中所有状态牌升1级，同时全队获得+5经验 | 扣血动画+队伍提升动画 | 你跪地虔诚祈祷，神像微微发光，一股力量灌注全队，但也带来了刺痛。 | 
B | 亵渎圣堂 | — | 50金币；下场战斗敌人获得20%增伤（永久） | 金币领取界面+下场战斗敌人增强的通知界面 | 你撬开祭台取走金币，殿内传来低沉的怒吼，似乎惊动了潜伏的敌人。 | 
C | 静默离开 | — | 无事发生 | — | 你悄悄退出神殿，未引起任何注意。 | 
受伤的冒险者 |  |  |  |  |  | 
倒地的冒险者仍在流血：「求你…帮帮我…」 |  |  |  |  |  | 
触发条件：处于洞穴/地牢场景 |  |  |  |  |  | 
选项 | 选项标题 | 代价 | 效果 | 视觉反馈 | 选择后文本 | 备注
A | 救治 | 全队 -15% HP | 随机遗物 | 扣血动画 → 遗物领取 | 你为他包扎伤口，他用尽最后的力气将一件遗物塞进你手中，随后闭眼，不知是死了还是陷入沉睡。 | 
B | 搜刮 | — | 20金币 + 随机卡牌 | 奖励领取界面 | 你翻找他的口袋，拿走了金币和一张卡牌，留他自生自灭。 | 
C | 无视 | — | 无事发生 | — | 你转身离开，他的呻吟声逐渐消失在身后。 | 
魔法泉水 |  |  |  |  |  | 
荧光泉水映照出奇异影像。 |  |  |  |  |  | 
触发条件：无 |  |  |  |  |  | 
选项 | 选项标题 | 代价 | 效果 | 视觉反馈 | 选择后文本 | 备注
A | 饮用泉水 | 随机 | 60% 全队 +25% HP / 25% 1 人（选择）选择3张卡各升1级 / 15% 全队 -15% HP | 治疗或扣血/选人动画 | 60%：泉水如温暖的光流过全身，全队的伤势迅速愈合。
25%：泉水迸发出奇异的力量注入肌肉，一名角色感到自己变得更强。
15%：泉水突然变得灼热刺骨，全队被烫伤后退。 | 
B | 装瓶带走 | — | 获得 2×泉水瓶 | — | 你小心地将泉水装入两个空瓶，收好备用。 | 
C | 不碰 | — | 无事发生 | — | 你绕过泉水，继续向前走去。 | 
赌徒的骰子 |  |  |  |  |  | 
矮人转着发光骰子：「来玩一把？」 |  |  |  |  |  | 
触发条件：无 |  |  |  |  |  | 
选项 | 选项标题 | 代价 | 效果 | 视觉反馈 | 选择后文本 | 备注
A | 小赌（20 金币） | 20 金 | 50% +50 金 | 金币领取界面 | 50%：骰子定格在幸运数字上，矮人笑着退还更多金币。
50%：骰子滚落到角落，矮人摇头收走了你的赌注。 | 
B | 大赌（全部金币） | 全部金币 | 40% 翻倍 / 30% 清零 / 30% 随机遗物 | 金币或遗物领取 | 40%：骰子连续翻转后稳稳立住，矮人惊讶地将双倍金币推还给你。
30%：骰子滚出桌面消失不见，矮人耸肩收走了你所有的金币。
30%：你输了，矮人收走了你的金币，却从怀里掏出一件神秘物品作为补偿。 | 
C | 不赌 | — | 无事发生 | — | 你摆摆手谢绝，矮人遗憾地收起骰子。 | 
镜中幻影 |  |  |  |  |  | 
魔法镜中映出会动的队伍影子。 |  |  |  |  |  | 
触发条件：无 |  |  |  |  |  | 
选项 | 选项标题 | 代价 | 效果 | 视觉反馈 | 选择后文本 | 备注
A | 进入镜中挑战 | — | 镜像战斗；胜利获得蓝色卡牌和全队+5经验 | 战斗 → 卡牌领取 | 镜面波动，你好像看到了你的倒影们冲了出来... | 
B | 打碎镜子 | — | 镜之碎片 ×1 | — | 你一拳击碎镜面，碎片散落一地，你捡起其中闪烁的一片放入背包。 | 
C | 离开 | — | 无事发生 | — | 镜中的影子模仿着你的转身动作，缓缓消失。 | 
被诅咒的书架 |  |  |  |  |  | 
一本书在自行翻页，文字不断变化。 |  |  |  |  |  | 
触发条件：无 |  |  |  |  |  | 
选项 | 选项标题 | 代价 | 效果 | 视觉反馈 | 选择后文本 | 备注
