=== Sheet: 卡牌 (dims=A1:S120, rows=120, cols=19) ===
角色 | 卡牌名称 | 费用 | 类型 | 职业 | 效果描述 | 卡牌稀有度 | 可升级次数 | 每次升级效果 | 升级所需经验 | 说明 |  |  |  |  | 初始牌组 | 角色 | 卡牌名称 | 数量
战士 | 作者境的一击 | 0 | 攻击 | 测试用 | 【AOE】造成9999伤害（无法获取） | 橙 | - | - | - | demo中开局加入战士牌组，作为测试卡使用。无法在游戏中获取加入卡组 |  |  |  |  |  | 战士 | 基础斩击 | 3
战士 | 基础斩击 | 1 | 攻击 | 职业 | 【前/中】造成8伤害 | 白 | 5 | +1伤害 | 8/级 |  |  |  |  |  |  |  | 举盾格挡 | 2
战士 | 举盾格挡 | 1 | 防御 | 职业 | 获得10护甲 | 白 | 5 | +1护甲 | 8/级 |  |  |  |  |  |  |  | 防御架势 | 1
战士 | 防御架势 | 1 | 防御 | 职业 | 【应对攻击】获得50%减伤 | 白 | 5 | +5%减伤 | 8/级 |  |  |  |  |  |  |  | 铁壁弹反 | 1
战士 | 战吼鼓舞 | 1 | 状态 | 职业 | 【快速启动】全队获得10%增伤（1回合） | 白 | 5 | +1伤害 | 8/级 |  |  |  |  |  |  | 恶魔 | 暗影爪击 | 3
战士 | 先发制人 | 1 | 攻击 | 职业 | 【快速启动】【前/中】造成3伤害 | 白 | 5 | +1伤害 | 8/级 |  |  |  |  |  |  |  | 鲜血铠甲 | 2
战士 | 猛力劈砍 | 2 | 攻击 | 职业 | 【前/中】造成18伤害。目标HP<50%时额外+8 | 绿 | 5 | +1伤害 | 10/级 |  |  |  |  |  |  |  | 恶魔之触 | 1
战士 | 护盾猛击 | 1 | 攻击 | 职业 | 【前/中】消耗所有护甲并造成等同于你护甲量+1的伤害 | 绿 | 5 | +1伤害 | 10/级 |  |  |  |  |  |  |  | 血尾贯穿 | 1
战士 | 以退为进 | 1 | 状态 | 职业 | 本回合获得SPD-3，获得15护甲 | 绿 | 5 | +1护甲 | 10/级 |  |  |  |  |  |  | 法老 | 沙暴射线 | 3
战士 | 剑柄猛击 | 1 | 攻击 | 职业 | 【应对状态】使该状态卡牌不生效。造成6伤害 | 绿 | 5 | +1伤害 | 10/级 |  |  |  |  |  |  |  | 祈祷祝福 | 2
战士 | 见招拆招 | 2 | 防御 | 职业 | 【应对攻击】完全免疫此次伤害，并使攻击者获得2层减速 | 绿 | - | - | - |  |  |  |  |  |  |  | 圣甲虫护盾 | 1
战士 | 嘲讽挑衅 | 2 | 防御 | 职业 | 所有敌人下一行动强制攻击战士。获得19护甲 | 绿 | 5 | +2护甲 | 10/级 |  |  |  |  |  |  |  | 亡灵诅咒 | 1
战士 | 铁壁弹反 | 2 | 防御 | 职业 | 【应对攻击】获得30%减伤，反射100%伤害给攻击者 | 蓝 | 5 | +5%减伤，+10%反弹伤害 | 15/级 |  |  |  |  |  |  |  |  | 
战士 | 应对姿态 | 2 | 状态 | 职业 | 【消耗】本场战斗中，每次成功触发应对效果时获得8护甲 | 蓝 | 5 | +1护甲 | 15/级 |  |  |  |  |  |  |  |  | 
战士 | 战意觉醒 | 3 | 状态 | 职业 | 【消耗】本场战斗中，每次掉血会使自身获得5%增伤 | 蓝 | 5 | +1%增伤 | 15/级 |  |  |  |  |  |  |  |  | 
战士 | 重甲强化 | 3 | 防御 | 职业 | 【消耗】本场战斗中，每次获得护甲时额外+20%护甲 | 蓝 | 5 | 额外+3%护甲 | 15/级 |  |  |  |  |  |  |  |  | 
战士 | 战士冲锋 | 3 | 攻击 | 职业 | 【前/中】造成28伤害，无视目标50%护甲 | 蓝 | 5 | +3伤害 | 15/级 |  |  |  |  |  |  |  |  | 
战士 | 誓死守护 | 2 | 防御 | 职业 | 本回合队友受到的伤害全部转移给战士，获得50%减伤 | 蓝 | 5 | +5%减伤 | 15/级 |  |  |  |  |  |  |  |  | 
战士 | 致命打击 | 3 | 攻击 | 职业 | 【前/中】造成 22 伤害。目标本轮已被攻击过则伤害+50% | 蓝 | 5 | +3伤害 | 15/级 |  |  |  |  |  |  |  |  | 
战士 | 剑刃风暴 | 3 | 攻击 | 职业 | 对随机敌人造成5伤害，重复5次 | 紫 | 5 | +1伤害 | 20/级 |  |  |  |  |  |  |  |  | 
战士 | 战术大师的终结技 | 3 | 攻击 | 职业 | 【前/中】造成整场远征中应对次数×5的伤害 | 紫 | 5 | 应对次数额外+1（比如升级一次从×5变×6） | 20/级 |  |  |  |  |  |  |  |  | 
战士 | 怒火焚身 | 2 | 攻击 | 职业 | 【前/中】造成10伤害，自身生命值越低伤害越高（每低5%，伤害额外提高1） | 紫 | 3 | 生命每低5%，伤害额外+1 | 20/级 |  |  |  |  |  |  |  |  | 
战士 | 不屈意志 | 0 | 状态 | 职业 | 【消耗】在本场战斗中，当第一次血量降至25%以下时，恢复20HP | 紫 | 5 | +5恢复HP | 20/级 |  |  |  |  |  |  |  |  | 
战士 | 天神下凡 | 5 | 状态 | 职业 | 【消耗】在本场战斗中，当获得护甲时，对所有敌人造成8伤害 | 橙 | 5 | +2伤害 | 30/级 |  |  |  |  |  |  |  |  | 
战士 | 最终壁垒 | 4 | 状态 | 职业 | 【消耗】在本场战斗中，回合开始时仅清除50%护甲，而非全部 | 橙 | 5 | -5%清除护甲 | 30/级 |  |  |  |  |  |  |  |  | 
战士 | 背水一战 | 7 | 状态 | 职业 | 【消耗】本场战斗中，战士HP不会降至1以下（2回合），并获得20%增伤 | 橙 | - | - | - |  |  |  |  |  |  |  |  | 
法老 | 沙暴射线 | 1 | 攻击 | 职业 | 【前/中】造成8伤害 | 白 | 5 | +1伤害 | 8/级 |  |  |  |  |  |  |  |  | 
法老 | 祈祷祝福 | 1 | 状态 | 职业 | 【消耗】治疗一名队友10HP | 白 | 5 | +1HP | 8/级 |  |  |  |  |  |  |  |  | 
法老 | 沙之箭 | 0 | 攻击 | 职业 | 【消耗】【前/中/后】造成5伤害 | 白 | 5 | +1伤害 | 8/级 |  |  |  |  |  |  |  |  | 
法老 | 沙之盾 | 0 | 防御 | 职业 | 【消耗】获得5护甲 | 白 | 5 | +1护甲 | 8/级 |  |  |  |  |  |  |  |  | 
法老 | 圣甲虫护盾 | 1 | 防御 | 职业 | 为一名队友添加10护甲 | 白 | 5 | +1护甲 | 8/级 |  |  |  |  |  |  |  |  | 
法老 | 法老诅咒 | 1 | 状态 | 职业 | 【前/中】施加2层减速 | 绿 | - | - | - |  |  |  |  |  |  |  |  | 
法老 | 记忆残片 | 2 | 状态 | 职业 | 【快速启动】抽2张牌 | 绿 | - | - | - |  |  |  |  |  |  |  |  | 
法老 | 太阳之怒 | 2 | 攻击 | 职业 | 【AOE】造成8伤害 | 绿 | 5 | +1伤害 | 10/级 |  |  |  |  |  |  |  |  | 
法老 | 腐烂之触 | 2 | 攻击 | 职业 | 【前/中】造成12伤害。目标每拥有1层负面状态，额外造成2伤害 | 绿 | 5 | +1伤害 | 10/级 |  |  |  |  |  |  |  |  | 
法老 | 沙尘结界 | 2 | 防御 | 职业 | 我方所有角色各获得8护甲 | 绿 | 5 | +1护甲 | 10/级 |  |  |  |  |  |  |  |  | 
法老 | 生命汲取 | 2 | 攻击 | 职业 | 【前/中】造成13伤害，对自己回复等量HP | 蓝 | 5 | +1伤害 | 15/级 |  |  |  |  |  |  |  |  | 
法老 | 法老权令 | 2 | 状态 | 职业 | 抽2张牌。指定一名队友获得10%增伤和10%强固持续到本回合结束 | 蓝 | 5 | +1伤害，+1护甲 | 15/级 |  |  |  |  |  |  |  |  | 
法老 | 瘟疫蔓延 | 2 | 状态 | 职业 | 【消耗】本场战斗中，当敌人因中毒受伤时，有30%概率将一半层数的该效果传染给相邻敌人（持续时间和原本保持一致） | 蓝 | 4 | +5%传染概率 | 15/级 |  |  |  |  |  |  |  |  | 
法老 | 诅咒加深 | 2 | 状态 | 职业 | 【前/中/后】使目标身上所有中毒和灼烧层数翻倍 | 蓝 | - | - | - |  |  |  |  |  |  |  |  | 
