=== Sheet: 怪物组合 (dims=A1:H63, rows=63, cols=8) ===
怪物组合总览 |  |  |  |  |  |  | 
洞穴层 |  |  |  |  |  |  | 
敌方阵容（前+中+后） | 每回合能量 | 每回合抽牌 | 缩放：伤害每3层+1，护甲每5层+1，HP每层+1.5（v0.8平衡版） | 战斗类型 | 遭遇层数/地形 | 战斗后经验奖励 | 备注
哥布林 + 哥布林 + 哥布林 | 4 | 5 | 是 | 普通战斗 | 1-5层/洞穴 | 10-13经验 | 
哥布林 + 史莱姆 + 骷髅兵 | 4 | 5 | 是 | 普通战斗 | 1-9层/洞穴 | 10-13经验 | 
哥布林 + 史莱姆 + 哥布林 | 4 | 5 | 是 | 普通战斗 | 1-9层/洞穴 | 10-13经验 | 
哥布林 + 骷髅兵 + 幽灵 | 4 | 5 | 是 | 普通战斗 | 1-9层/洞穴 | 10-13经验 | 
史莱姆 + 史莱姆 + 史莱姆 | 4 | 5 | 是 | 普通战斗 | 5-14层/洞穴 | 10-13经验 | 
骷髅兵 + 史莱姆 + 哥布林 | 4 | 5 | 是 | 普通战斗 | 5-9层/洞穴 | 10-13经验 | 
骷髅兵 + 幽灵 + 幽灵 | 4 | 5 | 是 | 普通战斗 | 5-14层/洞穴 | 10-13经验 | 
骷髅兵 + 骷髅兵 + 幽灵 | 4 | 5 | 是 | 普通战斗 | 5-9层/洞穴 | 10-13经验 | 
骷髅兵 + 骷髅兵 + 精英骷髅 | 4 | 5 | 是 | 普通战斗 | 5-19层/洞穴 | 10-13经验 | 10层前遭遇概率略低
骷髅兵 + 幽灵 + 精英幽灵 | 4 | 5 | 是 | 普通战斗 | 5-19层/洞穴 | 10-13经验 | 10层前遭遇概率略低
骷髅兵 + 精英骷髅 + 骷髅兵 | 4 | 5 | 是 | 精英战斗 | 1-5层/洞穴 | 18-25经验 | 
幽灵 + 精英幽灵 + 幽灵 | 4 | 5 | 是 | 精英战斗 | 1-5层/洞穴 | 18-25经验 | 
精英骷髅 + 精英幽灵 | 4 | 5 | 是 | 精英战斗 | 5-9层/洞穴 | 18-25经验 | 
骷髅兵 + 精英骷髅 + 精英幽灵 | 4 | 5 | 是 | 精英战斗 | 5-9层/洞穴 | 18-25经验 | 
绿皮巨魔 | 4 | 5 | 是 | 精英战斗 | 10-19层/洞穴 | 18-25经验 | 
骷髅兵 + 巨翼蝙蝠 | 4 | 5 | 是 | 精英战斗 | 10-19层/洞穴 | 18-25经验 | 
骷髅王 | 3 | 3 | 否 | Boss战斗 | 20层/洞穴 | 40经验 | 
幽灵女王 | 4 | 4 | 否 | Boss战斗 | 20层/洞穴 | 40经验 | 
地牢层 |  |  |  |  |  |  | 
骷髅兵 + 锁链怨灵 + 幽灵 | 4 | 5 | 是 | 普通战斗 | 21-29层/地牢 | 17-22经验 | 
骷髅兵 + 巨翼蝙蝠 + 幽灵 | 4 | 5 | 是 | 普通战斗 | 21-29层/地牢 | 17-22经验 | 
鼠人 + 幽灵 + 幽灵 | 4 | 5 | 是 | 普通战斗 | 21-29层/地牢 | 17-22经验 | 
鼠人 + 巨翼蝙蝠 | 4 | 5 | 是 | 普通战斗 | 21-29层/地牢 | 17-22经验 | 
鼠人 + 锁链怨灵 | 4 | 5 | 是 | 普通战斗 | 21-29层/地牢 | 17-22经验 | 
史莱姆 + 精英骷髅 + 精英幽灵 | 4 | 5 | 是 | 普通战斗 | 21-29层/地牢 | 17-22经验 | 
精英骷髅 + 锁链怨灵 + 骷髅兵 | 4 | 5 | 是 | 普通战斗 | 25-34层/地牢 | 17-22经验 | 
